,Unnamed: 0,Private,Apps,Accept,Enroll,Top10perc,Top25perc,F.Undergrad,P.Undergrad,Outstate,Room.Board,Books,Personal,PhD,Terminal,S.F.Ratio,perc.alumni,Expend,Grad.Rate,name,state,state_code,type,degree_length,room_and_board,in_state_tuition,in_state_total,out_of_state_tuition,out_of_state_total
0,Abilene Christian University,Yes,1660,1232,721,23,52,2885,537,7440,3300,450,2200,70,78,18.1,12,7041,60,Abilene Christian University,Texas,TX,Private,4 Year,10350.0,34850,45200,34850,45200
1,Adelphi University,Yes,2186,1924,512,16,29,2683,1227,12280,6450,750,1500,29,30,12.2,16,10527,56,Adelphi University,New York,NY,Private,4 Year,16030.0,38660,54690,38660,54690
2,Adrian College,Yes,1428,1097,336,22,50,1036,99,11250,3750,400,1165,53,66,12.9,30,8735,54,Adrian College,Michigan,MI,Private,4 Year,11318.0,37087,48405,37087,48405
3,Agnes Scott College,Yes,417,349,137,60,89,510,63,12960,5450,450,875,92,97,7.7,37,19016,59,Agnes Scott College,Georgia,GA,Private,4 Year,12330.0,41160,53490,41160,53490
4,Alaska Pacific University,Yes,193,146,55,16,44,249,869,7560,4120,800,1500,76,72,11.9,2,10922,15,Alaska Pacific University,Alaska,AK,Private,4 Year,7300.0,20830,28130,20830,28130
5,Albertus Magnus College,Yes,353,340,103,17,45,416,230,13290,5720,500,1500,90,93,11.5,26,8861,63,Albertus Magnus College,Connecticut,CT,Private,4 Year,13200.0,32060,45260,32060,45260
6,Albion College,Yes,1899,1720,489,37,68,1594,32,13868,4826,450,850,89,100,13.7,37,11487,73,Albion College,Michigan,MI,Private,4 Year,12380.0,45775,58155,45775,58155
7,Albright College,Yes,1038,839,227,30,63,973,306,15595,4400,300,500,79,84,11.3,23,11644,80,Albright College,Pennsylvania,PA,Private,4 Year,12070.0,45306,57376,45306,57376
8,Alfred University,Yes,1732,1425,472,37,75,1830,110,16548,5406,500,600,82,88,11.3,31,10932,73,Alfred University,New York,NY,Private,4 Year,12516.0,33484,46000,33484,46000
9,Allegheny College,Yes,2652,1900,484,44,77,1707,44,17080,4440,400,600,73,91,9.9,41,11711,76,Allegheny College,Pennsylvania,PA,Private,4 Year,12140.0,47540,59680,47540,59680
10,Alma College,Yes,1267,1080,385,44,73,1306,28,12572,4552,400,400,79,87,15.3,32,9305,68,Alma College,Michigan,MI,Private,4 Year,10998.0,40258,51256,40258,51256
11,Alverno College,Yes,494,313,157,23,46,1317,1235,8352,3640,650,2449,36,69,11.1,26,8127,55,Alverno College,Wisconsin,WI,Private,4 Year,8546.0,28302,36848,28302,36848
12,American International College,Yes,1420,1093,220,9,22,1018,287,8700,4780,450,1400,78,84,14.7,19,7355,69,American International College,Massachusetts,MA,Private,4 Year,14300.0,35680,49980,35680,49980
13,Amherst College,Yes,4302,992,418,83,96,1593,5,19760,5300,660,1598,93,98,8.4,63,21424,100,Amherst College,Massachusetts,MA,Private,4 Year,14740.0,56426,71166,56426,71166
14,Anderson University,Yes,1216,908,423,19,40,1819,281,10100,3520,550,1100,48,61,12.1,14,7994,59,Anderson University,South Carolina,SC,Private,4 Year,9830.0,28000,37830,28000,37830
15,Anderson University,Yes,1216,908,423,19,40,1819,281,10100,3520,550,1100,48,61,12.1,14,7994,59,Anderson University,Indiana,IN,Private,4 Year,9890.0,30450,40340,30450,40340
16,Andrews University,Yes,1130,704,322,14,23,1586,326,9996,3090,900,1320,62,66,11.5,18,10908,46,Andrews University,Michigan,MI,Private,4 Year,9078.0,29288,38366,29288,38366
17,Angelo State University,No,3540,2001,1016,24,54,4190,1512,5130,3592,500,2000,60,62,23.1,5,4010,34,Angelo State University,Texas,TX,Public,4 Year,9130.0,8489,17619,20939,30069
18,Appalachian State University,No,7313,4664,1910,20,63,9940,1035,6806,2540,96,2000,83,96,18.3,14,5854,70,Appalachian State University,North Carolina,NC,Public,4 Year,8304.0,7214,15518,22021,30325
19,Aquinas College,Yes,619,516,219,20,51,1251,767,11208,4124,350,1615,55,65,12.7,25,6584,65,Aquinas College,Michigan,MI,Private,4 Year,9332.0,32574,41906,32574,41906
21,Arkansas Tech University,No,1734,1729,951,12,52,3602,939,3460,2650,450,1000,57,60,19.6,5,4739,48,Arkansas Tech University,Arkansas,AR,Public,4 Year,7870.0,9068,16938,15848,23718
