,name,state,state_code,type,degree_length,room_and_board,in_state_tuition,in_state_total,out_of_state_tuition,out_of_state_total,rank,state_name,early_career_pay,mid_career_pay,make_world_better_percent,stem_percent
0,Adams State University,Colorado,CO,Public,4 Year,8782.0,9440,18222,20456,29238,16,Colorado,44400,81400,56.0,3
1,Adventist University of Health Sciences,Florida,FL,Private,4 Year,4200.0,15150,19350,15150,19350,14,Florida,51600,89800,88.0,5
2,Agnes Scott College,Georgia,GA,Private,4 Year,12330.0,41160,53490,41160,53490,14,Georgia,46000,83600,57.0,26
3,Alabama State University,Alabama,AL,Public,4 Year,5422.0,11068,16490,19396,24818,20,Alabama,39800,71500,61.0,16
4,Alaska Pacific University,Alaska,AK,Private,4 Year,7300.0,20830,28130,20830,28130,3,Alaska,50300,90000,67.0,6
5,Albany College of Pharmacy and Health Sciences,New York,NY,Private,4 Year,10920.0,35105,46025,35105,46025,1,New-York,81000,144800,82.0,2
6,Albertus Magnus College,Connecticut,CT,Private,4 Year,13200.0,32060,45260,32060,45260,18,Connecticut,49700,85900,62.0,2
7,Albion College,Michigan,MI,Private,4 Year,12380.0,45775,58155,45775,58155,7,Michigan,52100,99300,44.0,23
8,Alcorn State University,Mississippi,MS,Public,4 Year,9608.0,7144,16752,7144,16752,10,Mississippi,40900,69500,67.0,19
10,Alma College,Michigan,MI,Private,4 Year,10998.0,40258,51256,40258,51256,15,Michigan,48400,89900,52.0,15
12,Amherst College,Massachusetts,MA,Private,4 Year,14740.0,56426,71166,56426,71166,10,Massachusetts,63800,116500,45.0,32
14,Andrews University,Michigan,MI,Private,4 Year,9078.0,29288,38366,29288,38366,21,Michigan,47600,85000,51.0,7
15,Appalachian State University,North Carolina,NC,Public,4 Year,8304.0,7214,15518,22021,30325,15,North-Carolina,46600,82700,47.0,9
17,Arkansas Tech University,Arkansas,AR,Public,4 Year,7870.0,9068,16938,15848,23718,13,Arkansas,45000,76900,54.0,7
18,Armstrong State University,Georgia,GA,Public,4 Year,11385.0,6384,17769,19866,31251,16,Georgia,46600,81500,60.0,10
19,Asbury University,Kentucky,KY,Private,4 Year,7160.0,30198,37358,30198,37358,20,Kentucky,39400,70800,59.0,4
21,Auburn University,Alabama,AL,Public,4 Year,13332.0,11276,24608,30524,43856,1,Alabama,54400,104500,51.0,31
22,Auburn University at Montgomery,Alabama,AL,Public,4 Year,6980.0,10288,17268,22048,29028,13,Alabama,45000,79600,61.0,12
23,Augsburg University,Minnesota,MN,Private,4 Year,10280.0,38800,49080,38800,49080,12,Minnesota,50500,91000,52.0,11
24,Augusta University,Georgia,GA,Public,4 Year,9640.0,10758,20398,29796,39436,13,Georgia,47000,84400,69.0,10
25,Augustana University,South Dakota,SD,Private,4 Year,8248.0,33018,41266,33018,41266,3,South-Dakota,47900,88400,54.0,18
26,Austin Peay State University,Tennessee,TN,Public,4 Year,10700.0,8411,19111,24467,35167,20,Tennessee,44200,78200,63.0,10
27,Avila University,Missouri,MO,Private,4 Year,7200.0,19900,27100,19900,27100,17,Missouri,45900,81200,68.0,3
28,Babson College,Massachusetts,MA,Private,4 Year,16312.0,51104,67416,51104,67416,4,Massachusetts,72000,133800,37.0,0
29,Baker University,Kansas,KS,Private,4 Year,8410.0,29830,38240,29830,38240,10,Kansas,47800,84200,55.0,2
30,Ball State University,Indiana,IN,Public,4 Year,10234.0,9896,20130,26468,36702,22,Indiana,45600,83700,48.0,7
31,Barnard College,New York,NY,Private,4 Year,17225.0,55032,72257,55032,72257,19,New-York,59200,109800,57.0,19
32,Barry University,Florida,FL,Private,4 Year,11100.0,29850,40950,29850,40950,24,Florida,47400,84400,66.0,12
33,Barton College,North Carolina,NC,Private,4 Year,10120.0,30880,41000,30880,41000,24,North-Carolina,42400,77900,62.0,6
35,Bates College,Maine,ME,Private,4 Year,15224.0,53794,69018,53794,69018,3,Maine,59500,111900,50.0,23
36,Baylor University,Texas,TX,Private,4 Year,12595.0,45727,58322,45727,58322,12,Texas,55500,101400,49.0,16
37,Belhaven University,Mississippi,MS,Private,4 Year,8500.0,25300,33800,25300,33800,7,Mississippi,41200,74300,60.0,2
38,Bellarmine University,Kentucky,KY,Private,4 Year,12250.0,42200,54450,42200,54450,3,Kentucky,49000,90700,54.0,11
40,Bellevue University,Nebraska,NE,Private,4 Year,8730.0,9390,18120,9390,18120,10,Nebraska,49400,84800,57.0,23
42,Belmont Abbey College,North Carolina,NC,Private,4 Year,10355.0,18500,28855,18500,28855,14,North-Carolina,46700,82900,49.0,7
43,Belmont University,Tennessee,TN,Private,4 Year,12120.0,34310,46430,34310,46430,17,Tennessee,47300,80900,47.0,3
44,Beloit College,Wisconsin,WI,Private,4 Year,8830.0,50040,58870,50040,58870,17,Wisconsin,47400,85700,59.0,24
45,Benedict College,South Carolina,SC,Private,4 Year,6200.0,16600,22800,16600,22800,24,South-Carolina,38100,67500,61.0,19
46,Benedictine College,Kansas,KS,Private,4 Year,10300.0,29530,39830,29530,39830,3,Kansas,48700,91800,69.0,13
47,Bennington College,Vermont,VT,Private,4 Year,15610.0,54360,69970,54360,69970,6,Vermont,48800,90000,50.0,5
48,Bentley University,Massachusetts,MA,Private,4 Year,16320.0,49880,66200,49880,66200,9,Massachusetts,66600,116600,36.0,7
49,Berea College,Kentucky,KY,Private,4 Year,6764.0,39990,46754,39990,46754,19,Kentucky,39500,71600,53.0,27
50,Berry College,Georgia,GA,Private,4 Year,12770.0,36556,49326,36556,49326,12,Georgia,44900,84900,44.0,21
51,Black Hills State University,South Dakota,SD,Public,4 Year,6978.0,8733,15711,11778,18756,10,South-Dakota,40400,72600,51.0,11
52,Bloomfield College,New Jersey,NJ,Private,4 Year,11950.0,29550,41500,29550,41500,23,New-Jersey,48400,89100,55.0,17
54,Boise State University,Idaho,ID,Public,4 Year,10692.0,7694,18386,23776,34468,4,Idaho,50100,86400,55.0,14
55,Boston College,Massachusetts,MA,Private,4 Year,14478.0,55464,69942,55464,69942,11,Massachusetts,63600,115400,43.0,13
56,Boston University,Massachusetts,MA,Private,4 Year,15720.0,53948,69668,53948,69668,13,Massachusetts,61400,113600,43.0,25
57,Bowdoin College,Maine,ME,Private,4 Year,14698.0,53922,68620,53922,68620,2,Maine,61300,112000,54.0,37
58,Bowie State University,Maryland,MD,Public,4 Year,10904.0,8233,19137,18873,29777,18,Maryland,50300,89900,65.0,11
59,Bradley University,Illinois,IL,Private,4 Year,10620.0,33760,44380,33760,44380,6,Illinois,55600,104900,46.0,38
60,Brandeis University,Massachusetts,MA,Private,4 Year,15440.0,55395,70835,55395,70835,14,Massachusetts,60600,113200,48.0,29
61,Brescia University,Kentucky,KY,Private,4 Year,9200.0,22400,31600,22400,31600,10,Kentucky,44300,81200,53.0,7
62,Brigham Young University-Hawaii,Hawaii,HI,Private,4 Year,6586.0,5560,12146,5560,12146,1,Hawaii,51700,93900,57.0,12
63,Brigham Young University-Idaho,Idaho,ID,Private,4 Year,4592.0,4118,8710,4118,8710,2,Idaho,53700,93500,59.0,14
64,Brown University,Rhode Island,RI,Private,4 Year,14670.0,55656,70326,55656,70326,1,Rhode-Island,68200,127600,45.0,43
65,Bryant University,Rhode Island,RI,Private,4 Year,15702.0,43973,59675,43973,59675,2,Rhode-Island,60500,108600,37.0,8
66,Bucknell University,Pennsylvania,PA,Private,4 Year,13662.0,56092,69754,56092,69754,5,Pennsylvania,66700,122900,40.0,40
67,Butler University,Indiana,IN,Private,4 Year,13830.0,41120,54950,41120,54950,7,Indiana,51800,99300,53.0,9
68,California Institute of Technology,California,CA,Private,4 Year,15525.0,52362,67887,52362,67887,3,California,84100,151600,53.0,97
69,Calvin College,Michigan,MI,Private,4 Year,10200.0,34600,44800,34600,44800,13,Michigan,50200,91100,54.0,23
70,Cameron University,Oklahoma,OK,Public,4 Year,5452.0,6450,11902,15870,21322,11,Oklahoma,43900,81500,54.0,14
71,Campbell University,North Carolina,NC,Private,4 Year,11430.0,32500,43930,32500,43930,16,North-Carolina,46300,82400,56.0,8
72,Campbellsville University,Kentucky,KY,Private,4 Year,8000.0,25400,33400,25400,33400,24,Kentucky,37600,66800,50.0,7
73,Capitol Technology University,Maryland,MD,Private,4 Year,5708.0,25428,31136,25428,31136,2,Maryland,67400,118400,63.0,88
74,Cardinal Stritch University,Wisconsin,WI,Private,4 Year,8440.0,29998,38438,29998,38438,20,Wisconsin,47000,82500,51.0,2
75,Carleton College,Minnesota,MN,Private,4 Year,14085.0,54759,68844,54759,68844,1,Minnesota,58800,109900,47.0,45
76,Carnegie Mellon University,Pennsylvania,PA,Private,4 Year,14418.0,55465,69883,55465,69883,1,Pennsylvania,75900,136100,45.0,66
77,Carroll College,Montana,MT,Private,4 Year,9880.0,35486,45366,35486,45366,3,Montana,48200,91400,55.0,25
78,Carroll University,Wisconsin,WI,Private,4 Year,9484.0,31918,41402,31918,41402,16,Wisconsin,45600,86500,49.0,14
